ERR4682329	Thailand	Surat Thani	11/6/2017
ERR4682330	Italy	Novara	11/20/2017
ERR4682331	Italy	Verbania	11/20/2017
ERR4682332	Italy	Cannobio	11/20/2017
ERR4682333	Sweden	Gothenburg	11/19/2017
ERR4682334	Austria	Vienna	11/21/2017
ERR4682335	Portugal	Lisbon	11/22/2017
ERR4682336	Cambodia	Phnom Penh	11/20/2017
ERR4682337	Croatia	Zagreb	11/13/2017
ERR4682338	Greece	Athens	11/21/2017
ERR4682339	Nicaragua	Leon	11/21/2017
ERR4682340	Switzerland	Bern	11/21/2017
ERR4682341	Australia	Darwin	11/21/2017
ERR4682342	Australia	Maningrida	11/22/2017
ERR4682343	Belgium	Ghent	11/22/2017
ERR4682344	Belgium	Bruges	11/22/2017
ERR4682345	Belgium	Antwerp South	11/21/2017
ERR4682346	Belgium	Deurne	11/22/2017
ERR4682347	France	Nantes	11/20/2017
ERR4682348	France	Saint Philibert	11/22/2017
ERR4682349	Montenegro	Podgorica	11/23/2017
ERR4682350	Czech Republic	Praha	11/20/2017
ERR4682351	Czech Republic	Brno	11/22/2017
ERR4682352	Guatemala	San Miguel Petapa	11/20/2017
ERR4682353	South Africa	Pretoria	11/17/2017
ERR4682354	Bosnia and Herzegovina	Banja Luka	11/21/2017
ERR4682355	Tanzania	Mwanza	11/20/2017
ERR4682356	Tanzania	Morogoro	11/21/2017
ERR4682357	Benin	Cotonou	11/11/2017
ERR4682358	South Korea	Daejeon	11/23/2017
ERR4682359	Cote d'Ivoire	Abidjan	11/22/2017
ERR4682360	Cote d'Ivoire	Bouake	11/21/2017
ERR4682361	Cote d'Ivoire	Yamoussoukro	11/22/2017
ERR4682362	Saudi Arabia	Thuwal	11/22/2017
ERR4682363	Slovenia	Ljubljana	11/30/2017
ERR4682364	Spain	Barcelona	11/30/2017
ERR4682365	Slovakia	Bratislava	11/21/2017
ERR4682366	Greece	Thessaloniki	11/30/2017
ERR4682367	Hong Kong	Hong Kong	11/30/2017
ERR4682368	Uganda	Kampala	12/1/2017
ERR4682369	Iceland	Reykjavik	11/24/2017
ERR4682370	Norway	Oslo	11/23/2017
ERR4682371	Malaysia	Kuala Lumpur	11/30/2017
ERR4682372	Malaysia	Klang	11/30/2017
ERR4682373	Malaysia	Ipoh	11/29/2017
ERR4682374	Albania	Tirana	11/20/2017
ERR4682375	Germany	Berlin	11/28/2017
ERR4682376	Hungary	Budapest	11/30/2017
ERR4682377	Germany	Dresden	11/29/2017
ERR4682378	Chad	N'Djamena	11/26/2017
ERR4682379	Greenland	Sisimiut	11/30/2017
ERR4682380	Taiwan	Taipei	11/22/2017
ERR4682381	India	Kochi	11/24/2017
ERR4682382	United Kingdom	Camborne	11/28/2017
ERR4682383	United Kingdom	Falmouth	2017
ERR4682384	Japan	Anonymous	11/27/2017
ERR4682385	India	Manipal	11/23/2017
ERR4682386	Thailand	Pathum Thani	11/23/2017
ERR4682387	Barbados	Bridgetown	11/23/2017
ERR4682388	Barbados	Worthing	11/23/2017
ERR4682389	Paraguay	San Lorenzo	11/30/2017
ERR4682390	Pakistan	Karachi	11/27/2017
ERR4682391	Ireland	Galway	11/27/2017
ERR4682392	Hungary	Szekesfehervar	11/27/2017
ERR4682393	Canada	Quebec	12/5/2017
ERR4682394	Italy	Rome	11/20/2017
ERR4682395	Poland	Pulawy	11/28/2017
ERR4682396	Nigeria	Lagos	12/6/2017
ERR4682397	Mauritius	Port Louis	12/1/2017
ERR4682398	Belgium	Brussels	11/23/2017
ERR4682399	Estonia	Tallinn	12/9/2017
ERR4682400	Estonia	Tartu	11/20/2017
ERR4682401	Estonia	Parnu	11/28/2017
ERR4682402	Estonia	Narva	11/22/2017
ERR4682403	Sweden	Uppsala	11/27/2017
ERR4682404	Iran	Shiraz	11/30/2017
ERR4682405	Luxembourg	Luxembourg	12/1/2017
ERR4682406	Portugal	Porto	11/22/2017
ERR4682407	South Korea	Gwangju	11/20/2017
ERR4682408	Burkina Faso	Ouagadougou	1/4/2018
ERR4682409	Burkina Faso	Bobo Dioulasso	12/19/2017
ERR4682410	Colombia	Mosquera	12/28/2017
ERR4682411	Botswana	Gaborone	12/1/2017
ERR4682412	Malawi	Zomba	11/22/2017
ERR4682413	Malawi	Chikwawa	11/21/2017
ERR4682414	Malawi	Machinga	11/22/2017
ERR4682415	Malawi	Mchinji	11/23/2017
ERR4682416	Togo	Lome	11/27/2017
ERR4682417	Malawi	Lilongwe	11/23/2017
ERR4682418	Malawi	Karonga	11/24/2017
ERR4682419	Malawi	Nsanje	11/21/2017
ERR4682420	Bangladesh	Dhaka	11/25/2017
ERR4682421	Kuwait	Kuwait	12/7/2017
ERR4682422	Nepal	Kathmandu	1/3/2018
ERR4682423	Nepal	Bhaktapur	1/3/2018
ERR4682424	USA	Chapel Hill	11/2/2017
ERR4682425	Ghana	Tamale	12/9/2017
ERR4682426	Cameroon	Yaounde	11/17/2017
ERR4682427	United Kingdom	Edinburgh	11/21/2017
ERR4682428	Uruguay	Montevideo	12/1/2017
ERR4682429	Chile	Santiago	12/4/2017
ERR4682430	Chile	Punta Arenas	11/29/2017
ERR4682431	Morocco	Casablanca	11/29/2017
ERR4682432	Israel	Beer-Sheva	12/6/2017
ERR4682433	Canada	Ottawa	11/27/2017
ERR4682434	Canada	Regina	11/22/2017
ERR4682435	Canada	Calgary	11/21/2017
ERR4682436	Canada	Vancouver	11/19/2017
ERR4682437	Ghana	Kumasi	11/29/2017
ERR4682438	United Kingdom	Newcastle Upon Tyne	12/4/2017
ERR4682439	Finland	Oulu	11/21/2017
ERR4682440	Finland	Turku	11/22/2017
ERR4682441	Finland	Helsinki	11/22/2017
ERR4682442	USA	Seattle	11/28/2017
ERR4682443	United Arab Emirates	Dubai	11/28/2017
ERR4682444	New Zealand	Christchurch	11/21/2017
ERR4682445	USA	Houston	1/19/2018
ERR4682446	USA	Austin	1/18/2018
ERR4682447	USA	Waco	1/11/2018
ERR4682448	Malaysia	Alor Setar	11/23/2017
ERR4682449	Malaysia	Jelutong	11/23/2017
ERR4682450	Malaysia	Butterworth	11/23/2017
ERR4682451	Tanzania	Moshi	11/29/2017
ERR4682452	Philippines	Quezon City	12/21/2017
ERR4682453	Argentina	Buenos Aires	11/22/2017
ERR4682454	Saint Lucia	Castries	2017
ERR4682455	Saint Lucia	Gros Islet	2017
ERR4682456	Ethiopia	Addis Ababa	11/24/2017
ERR4682457	Nigeria	Ilorin	1/10/2018
ERR4682458	Ecuador	Quito	11/23/2017
ERR4682459	Mozambique	Maputo	11/17/2017
ERR4682460	Iran	Tehran	10/1/2018
ERR4682461	Senegal	Dakar	3/8/2018
ERR4682462	Denmark	Valby	11/18/2017
ERR4682463	Denmark	Amager	11/18/2017
ERR4682464	Denmark	Avedore	11/18/2017
ERR4682465	China	Guangzhou	12/21/2017
ERR4682466	Viet Nam	Ho Chi Minh	12/27/2017
ERR4682467	Serbia	Belgrade	2017
ERR4682468	Netherlands	Utrecht	11/23/2017
ERR4682469	Denmark	Lyngby	12/12/2017
ERR4682470	Denmark	Lyngby	12/15/2017
ERR4682471	Denmark	Lyngby	12/19/2017
ERR4682472	Denmark	Lyngby	1/17/2018
ERR4682473	Denmark	Lyngby	1/24/2018
ERR4682474	Denmark	Lyngby	2/28/2018
ERR4682475	Denmark	Lyngby	4/5/2018
ERR4682476	Denmark	Lyngby	4/24/2018
