sample_accession	run_accession	sample_alias
SAMEA4700692	ERR2607371	ALB-17_1
SAMEA4700693	ERR2607372	ALB-17_2
SAMEA4700694	ERR2607373	ALB-17
SAMEA4700695	ERR2607374	AUS-18_1
SAMEA4700696	ERR2607375	AUS-18_2
SAMEA4700697	ERR2607376	AUS-18_3
SAMEA4700698	ERR2607377	AUS-18_4
SAMEA4700699	ERR2607378	AUS-18a_1
SAMEA4700700	ERR2607379	AUS-18a_2
SAMEA4700701	ERR2607380	AUS-18a_3
SAMEA4700702	ERR2607381	AUS-18a_4
SAMEA4700703	ERR2607382	AUS-18a
SAMEA4700704	ERR2607383	AUS-18
SAMEA4700705	ERR2607384	AUT-70_1
SAMEA4700706	ERR2607385	AUT-70_2
SAMEA4700707	ERR2607386	AUT-70_3
SAMEA4700708	ERR2607387	AUT-70
SAMEA4700709	ERR2607388	BGR-66_1
SAMEA4700710	ERR2607389	BGR-66_2
SAMEA4700711	ERR2607390	BGR-66_3
SAMEA4700712	ERR2607391	BGR-66
SAMEA4700713	ERR2607392	BRA-53_1
SAMEA4700714	ERR2607393	BRA-53_2
SAMEA4700715	ERR2607394	BRA-53a_1
SAMEA4700716	ERR2607395	BRA-53a_2
SAMEA4700717	ERR2607396	BRA-53a
SAMEA4700718	ERR2607397	BRA-53
SAMEA4700719	ERR2607398	BWA-19_1
SAMEA4700720	ERR2607399	BWA-19_2
SAMEA4700721	ERR2607400	BWA-19_3
SAMEA4700722	ERR2607401	BWA-19
SAMEA4700723	ERR2607402	CAN-22_1
SAMEA4700724	ERR2607403	CAN-22_2
SAMEA4700725	ERR2607404	CAN-22a_1
SAMEA4700726	ERR2607405	CAN-22a_2
SAMEA4700727	ERR2607406	CAN-22a_3
SAMEA4700728	ERR2607407	CAN-22a_4
SAMEA4700729	ERR2607408	CAN-22a
SAMEA4700730	ERR2607409	CAN-22b_1
SAMEA4700731	ERR2607410	CAN-22b_2
SAMEA4700732	ERR2607411	CAN-22b_3
SAMEA4700733	ERR2607412	CAN-22b_4
SAMEA4700734	ERR2607413	CAN-22b
SAMEA4700735	ERR2607414	CAN-22c
SAMEA4700736	ERR2607415	CAN-22
SAMEA4700737	ERR2607416	CHE-67_1
SAMEA4700738	ERR2607417	CHE-67_2
SAMEA4700739	ERR2607418	CHE-67_3
SAMEA4700740	ERR2607419	CHE-67_4
SAMEA4700741	ERR2607420	CHE-67_5
SAMEA4700742	ERR2607421	CHE-67_6
SAMEA4700743	ERR2607422	CHE-67
SAMEA4700744	ERR2607423	CHN-64
SAMEA4700745	ERR2607424	CIV-13_1
SAMEA4700746	ERR2607425	CIV-13_2
SAMEA4700747	ERR2607426	CIV-13
SAMEA4700748	ERR2607427	COL-2
SAMEA4700749	ERR2607428	CZE-23_1
SAMEA4700750	ERR2607429	CZE-23_2
SAMEA4700751	ERR2607430	CZE-23
SAMEA4700752	ERR2607431	DEU-27_1
SAMEA4700753	ERR2607432	DEU-27_2
SAMEA4700754	ERR2607433	DEU-27_3
SAMEA4700755	ERR2607434	DEU-27_4
SAMEA4700756	ERR2607435	DEU-27
SAMEA4700757	ERR2607436	DNK-71_RA
SAMEA4700758	ERR2607437	DNK-71_RD
SAMEA4700759	ERR2607438	DNK-71_RL
SAMEA4700760	ERR2607439	ECU-14a_1
SAMEA4700761	ERR2607440	ECU-14a
SAMEA4700762	ERR2607441	ECU-14
SAMEA4700763	ERR2607442	ESP-75_1
SAMEA4700764	ERR2607443	ESP-75_2
SAMEA4700765	ERR2607444	ESP-75_3
SAMEA4700766	ERR2607445	ESP-75_4
SAMEA4700767	ERR2607446	ESP-75_5
SAMEA4700768	ERR2607447	ESP-75
SAMEA4700769	ERR2607448	ETH-24
SAMEA4700770	ERR2607449	FIN-25_1
SAMEA4700771	ERR2607450	FIN-25_2
SAMEA4700772	ERR2607451	FIN-25
SAMEA4700773	ERR2607452	GEO-59_1
SAMEA4700774	ERR2607453	GEO-59_2
SAMEA4700775	ERR2607454	GEO-59_3
SAMEA4700776	ERR2607455	GEO-59
SAMEA4700777	ERR2607456	GHA-4
SAMEA4700778	ERR2607457	GMB-10
SAMEA4700779	ERR2607458	HRV-68_1
SAMEA4700780	ERR2607459	HRV-68_2
SAMEA4700781	ERR2607460	HRV-68_3
SAMEA4700782	ERR2607461	HRV-68_4
SAMEA4700783	ERR2607462	HRV-68
SAMEA4700784	ERR2607463	HUN-61
SAMEA4700785	ERR2607464	IND-11_1
SAMEA4700786	ERR2607465	IND-11_2
SAMEA4700787	ERR2607466	IND-11
SAMEA4700788	ERR2607467	IRL-69_1
SAMEA4700789	ERR2607468	IRL-69_2
SAMEA4700790	ERR2607469	IRL-69
SAMEA4700791	ERR2607470	IRN-12_1
SAMEA4700792	ERR2607471	IRN-12_2
SAMEA4700793	ERR2607472	IRN-12
SAMEA4700794	ERR2607473	ISL-28_1
SAMEA4700795	ERR2607474	ISL-28_2
SAMEA4700796	ERR2607475	ISL-28
SAMEA4700797	ERR2607476	ISR-29_1
SAMEA4700798	ERR2607477	ISR-29_2
SAMEA4700799	ERR2607478	ISR-29
SAMEA4700800	ERR2607479	ITA-30
SAMEA4700801	ERR2607480	KAZ-6
SAMEA4700802	ERR2607481	KEN-72_1
SAMEA4700803	ERR2607482	KEN-72_2
SAMEA4700804	ERR2607483	KEN-72_3
SAMEA4700805	ERR2607484	KEN-72
SAMEA4700806	ERR2607485	KHM-21
SAMEA4700807	ERR2607486	LKA-40
SAMEA4700808	ERR2607487	LUX-32
SAMEA4700809	ERR2607488	LVA-31_1
SAMEA4700810	ERR2607489	LVA-31_2
SAMEA4700811	ERR2607490	LVA-31_3
SAMEA4700812	ERR2607491	LVA-31
SAMEA4700813	ERR2607492	MDA-65_1
SAMEA4700814	ERR2607493	MDA-65_2
SAMEA4700815	ERR2607494	MDA-65
SAMEA4700816	ERR2607495	MKD-62_1
SAMEA4700817	ERR2607496	MKD-62_2
SAMEA4700818	ERR2607497	MKD-62_3
SAMEA4700819	ERR2607498	MKD-62
SAMEA4700820	ERR2607499	MLT-63_1
SAMEA4700821	ERR2607500	MLT-63_2
SAMEA4700822	ERR2607501	MLT-63
SAMEA4700823	ERR2607502	MYS-54_1
SAMEA4700824	ERR2607503	MYS-54_2
SAMEA4700825	ERR2607504	MYS-54_3
SAMEA4700826	ERR2607505	MYS-54_4
SAMEA4700827	ERR2607506	MYS-54
SAMEA4700828	ERR2607507	NGA-50_1
SAMEA4700829	ERR2607508	NGA-50_2
SAMEA4700830	ERR2607509	NGA-50
SAMEA4700831	ERR2607510	NLD-43_1
SAMEA4700832	ERR2607511	NLD-43_2
SAMEA4700833	ERR2607512	NLD-43_3
SAMEA4700834	ERR2607513	NLD-43_4
SAMEA4700835	ERR2607514	NLD-43
SAMEA4700836	ERR2607515	NOR-34_1
SAMEA4700837	ERR2607516	NOR-34_2
SAMEA4700838	ERR2607517	NOR-34
SAMEA4700839	ERR2607518	NPL-33
SAMEA4700840	ERR2607519	NZL-56
SAMEA4700841	ERR2607520	PAK-7
SAMEA4700842	ERR2607521	PER-35
SAMEA4700843	ERR2607522	POL-36_1
SAMEA4700844	ERR2607523	POL-36_2
SAMEA4700845	ERR2607524	POL-36
SAMEA4700846	ERR2607525	SEN-8
SAMEA4700847	ERR2607526	SGP-52_1
SAMEA4700848	ERR2607527	SGP-52_2
SAMEA4700849	ERR2607528	SGP-52
SAMEA4700850	ERR2607529	SRB-37_1
SAMEA4700851	ERR2607530	SRB-37_2
SAMEA4700852	ERR2607531	SRB-37
SAMEA4700853	ERR2607532	SVK-9_1
SAMEA4700854	ERR2607533	SVK-9
SAMEA4700855	ERR2607534	SVN-38_1
SAMEA4700856	ERR2607535	SVN-38_2
SAMEA4700857	ERR2607536	SVN-38
SAMEA4700858	ERR2607537	SWE-41a_1
SAMEA4700859	ERR2607538	SWE-41a_2
SAMEA4700860	ERR2607539	SWE-41a
SAMEA4700861	ERR2607540	SWE-41
SAMEA4700862	ERR2607541	TCD-1_1
SAMEA4700863	ERR2607542	TCD-1_2
SAMEA4700864	ERR2607543	TCD-1_3
SAMEA4700865	ERR2607544	TCD-1_4
SAMEA4700866	ERR2607545	TCD-1
SAMEA4700867	ERR2607546	TGO-44
SAMEA4700868	ERR2607547	TUR-46_1
SAMEA4700869	ERR2607548	TUR-46_2
SAMEA4700870	ERR2607549	TUR-46
SAMEA4700871	ERR2607550	TZA-15
SAMEA4700872	ERR2607551	USA-74a_1
SAMEA4700873	ERR2607552	USA-74a_2
SAMEA4700874	ERR2607553	USA-74a_3
SAMEA4700875	ERR2607554	USA-74a
SAMEA4700876	ERR2607555	USA-74b_1
SAMEA4700877	ERR2607556	USA-74b_2
SAMEA4700878	ERR2607557	USA-74b_3
SAMEA4700879	ERR2607558	USA-74b_4
SAMEA4700880	ERR2607559	USA-74b_5
SAMEA4700881	ERR2607560	USA-74b_6
SAMEA4700882	ERR2607561	USA-74b
SAMEA4700883	ERR2607562	USA-74c_1
SAMEA4700884	ERR2607563	USA-74c
SAMEA4700885	ERR2607564	USA-74d_1
SAMEA4700886	ERR2607565	USA-74d_2
SAMEA4700887	ERR2607566	USA-74d_3
SAMEA4700888	ERR2607567	USA-74d
SAMEA4700889	ERR2607568	USA-74e_1
SAMEA4700890	ERR2607569	USA-74e_2
SAMEA4700891	ERR2607570	USA-74e_3
SAMEA4700892	ERR2607571	USA-74e
SAMEA4700893	ERR2607572	USA-74f_1
SAMEA4700894	ERR2607573	USA-74f_2
SAMEA4700895	ERR2607574	USA-74f_3
SAMEA4700896	ERR2607575	USA-74f_4
SAMEA4700897	ERR2607576	USA-74f_5
SAMEA4700898	ERR2607577	USA-74f_6
SAMEA4700899	ERR2607578	USA-74f
SAMEA4700900	ERR2607579	USA-74g_1
SAMEA4700901	ERR2607580	USA-74g_2
SAMEA4700902	ERR2607581	USA-74g_3
SAMEA4700903	ERR2607582	USA-74g_4
SAMEA4700904	ERR2607583	USA-74g_5
SAMEA4700905	ERR2607584	USA-74g_6
SAMEA4700906	ERR2607585	USA-74g_7
SAMEA4700907	ERR2607586	USA-74g_8
SAMEA4700908	ERR2607587	USA-74g
SAMEA4700909	ERR2607588	USA-74h
SAMEA4700910	ERR2607589	USA-74i
SAMEA4700911	ERR2607590	USA-74
SAMEA4700912	ERR2607591	VNM-48
SAMEA4700913	ERR2607592	XK-60
SAMEA4700914	ERR2607593	ZAF-39_1
SAMEA4700915	ERR2607594	ZAF-39_2
SAMEA4700916	ERR2607595	ZAF-39
SAMEA4700917	ERR2607596	ZMB-49_1
SAMEA4700918	ERR2607597	ZMB-49_2
SAMEA4700919	ERR2607598	ZMB-49b_1
SAMEA4700920	ERR2607599	ZMB-49b_2
SAMEA4700921	ERR2607600	ZMB-49b_3
SAMEA4700922	ERR2607601	ZMB-49b_4
SAMEA4700923	ERR2607602	ZMB-49b_5
SAMEA4700924	ERR2607603	ZMB-49b_6
SAMEA4700925	ERR2607604	ZMB-49b
SAMEA4700926	ERR2607605	ZMB-49
